Rank,Tag,Power,R5
1,"ORCE",7044519755,"EchoJT"
2,"UvvU",6467618745,"쿠치나 ᓚᘏᗢ"
3,"nkot",5053417714,"잔인한노니 Noni"
4,"STR8",4998393046,"ULoveGucciiღ"
5,"EPIC",4997451656,"MastaGinger"
6,"404a",4982528656,"DjNinja17"
7,"LE4L",4980439054,"Alessaurem"
8,"FLM",4505121909,"KiluaZoldic"
9,"NYPR",3709979466,"Batman100x35PR"
10,"SWBA",3681939035,"Don123123"
11,"86KO",2655249702,"ʚᴸᵘᶰᵃɞ"
12,"FNXS",2618735693,"Gera D Vc"
13,"MTOP",1835412238,"MTOP test"
14,"NiKi",1647083009,"NakappaFenomeno"
15,"MZKU",1257819990,"Grand Puba Daddio"
16,"bfp8",1055412234,"Fr3lancr"
17,"UUSN",911283464,"KingKlik TC"
18,"LSKJ",568731838,"R5 of LSKJ"
19,"sk98",560713048,"Commander 210321586"
20,"1985",549297786,"최사령 관"
21,"C4B",549297786,"Capboaventura"
22,"z5fa",477221632,"yuridn"
23,"w1l0",438532321,"T Brown"
24,"BOS7",324608782,"Commander 1c8ef1586"
25,"NMMN",321887969,"Nolergd"
26,"SLTR",273175316,"R5 of SLTR"
27,"Redr",252892825,"R5 of Redr"
28,"SLMA",252890829,"R5 of SLMA"
29,"SWSL",206108439,"R5 of SWSL"
30,"NRDS",204160429,"R5 of NRDS"
31,"RDCS",188450283,"R5 of RDCS"
32,"CHVL",188438787,"R5 of CHVL"
33,"NFLA",184087890,"R5 of NFLA"
34,"Lbdu",140078397,"R5 of Lbdu"
35,"nic1",139478018,"R5 of nic1"
36,"LsBJ",129478918,"R5 of LsBJ"
37,"LeGA",120091397,"R5 of LeGA"
38,"Lepa",115426661,"R5 of Lepa"
39,"Bbr1",113428691,"R5 of Bbr1"
40,"RU66",103949160,"R5 of RU66"
41,"LsN0",101914788,"R5 of LsN0"
42,"L4TM",94596408,"R5 of L4TM"
43,"SHDW",94539668,"R5 of SHDW"
44,"SWGE",92451015,"R5 of SWGE"
45,"rico",92051825,"R5 of rico"
46,"MAnD",72528458,"R5 of MAnD"
47,"Gwc",72528066,"R5 of Gwc"
48,"nand",71317372,"R5 of nand"
49,"MbSt",71317272,"R5 of MbSt"
50,"JEWS",67256832,"R5 of JEWS"
51,"FYPE",67234832,"R5 of FYPE"
52,"tzh",63542075,"R5 of tzh"
53,"BSoG",62379252,"R5 of BSoG"
54,"1586",62370252,"R5 of 1586"
55,"TSTG",62152832,"R5 of TSTG"
56,"jea4",61517008,"R5 of jea4"
57,"TmpL",61317088,"R5 of TmpL"
58,"LHPS",54735436,"R5 of LHPS"
59,"EWE1",54734256,"R5 of EWE1"
60,"SGE2",54498456,"R5 of SGE2"
61,"LGLW",54458458,"R5 of LGLW"
62,"RNWF",50877549,"R5 of RNWF"
63,"qpdl",50077549,"R5 of qpdl"
64,"ArtW",48628329,"R5 of ArtW"
65,"jein",48571871,"R5 of jein"
66,"RSTE",46628136,"R5 of RSTE"
67,"MT7",45844972,"R5 of MT7"
68,"poci",44193914,"R5 of poci"
69,"EvLB",43964927,"R5 of EvLB"
70,"SOUL",43763816,"R5 of SOUL"
71,"MssH",43763816,"R5 of MssH"
72,"STNK",43558988,"R5 of STNK"
73,"7kr",43558006,"R5 of 7kr"
74,"lpe",37519173,"R5 of lpe"
75,"joumH",37518173,"R5 of joumH"
76,"6mko",35831998,"R5 of 6mko"
77,"c4B",0,"Capboaventura"
